filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
087.wav,-0.0605,-0.0259,1.2616,3.9655,0.6005,1.9698
088.wav,-0.0198,-0.0085,0.7595,3.6746,0.3698,1.8331
089.wav,-0.0115,-0.0049,-0.1545,3.4419,-0.083,1.7185
090.wav,-0.0561,-0.024,0.1984,3.1841,0.0712,1.58
091.wav,-0.0216,-0.0093,0.3392,3.4864,0.1588,1.7386
092.wav,-0.0572,-0.0245,0.7998,3.7007,0.3713,1.8381
093.wav,-0.173,-0.0741,0.711,3.622,0.269,1.7739
094.wav,-0.0346,-0.0148,0.2589,3.3581,0.1122,1.6717
095.wav,-0.2378,-0.1019,0.5115,3.5196,0.1368,1.7088
096.wav,-0.0377,-0.0162,0.7738,3.6844,0.368,1.8341
097.wav,-0.0582,-0.025,1.1412,3.9276,0.5415,1.9513
098.wav,-0.0194,-0.0083,0.3971,3.436,0.1888,1.7138
099.wav,-0.0153,-0.0066,0.5551,3.5532,0.2699,1.7733
100.wav,-0.1596,-0.0684,0.8055,3.7328,0.3229,1.8322
