filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
088.wav,-0.0347,-0.0149,0.7595,3.6746,0.3624,1.8299
089.wav,-0.0314,-0.0135,0.6031,3.5358,0.2858,1.7612
090.wav,-0.031,-0.0133,0.5081,3.5533,0.2386,1.77
091.wav,-0.0046,-0.002,1.3259,4.0336,0.6606,2.0158
092.wav,-0.005,-0.0021,0.6315,3.5929,0.3133,1.7954
093.wav,-0.0192,-0.0082,0.1582,3.3979,0.0695,1.6948
094.wav,-0.0156,-0.0067,0.2097,3.3156,0.0971,1.6545
095.wav,-0.0665,-0.0285,0.0305,3.4251,-0.018,1.6983
096.wav,-0.0128,-0.0055,1.0682,3.9473,0.5277,1.9709
097.wav,-0.1748,-0.0749,0.4605,3.4474,0.1428,1.6862
098.wav,-0.1376,-0.059,1.307,3.9981,0.5847,1.9695
099.wav,-0.0251,-0.0107,1.0606,3.8496,0.5178,1.9194
100.wav,-0.023,-0.0099,0.7415,3.7264,0.3593,1.8583
101.wav,-0.0203,-0.0087,0.087,3.3469,0.0334,1.6691
102.wav,-0.0184,-0.0079,1.1135,3.827,0.5476,1.9096
103.wav,-0.1549,-0.0664,0.287,3.3723,0.0661,1.653
104.wav,-0.051,-0.0219,0.4591,3.5048,0.204,1.7415
105.wav,-0.0688,-0.0295,0.2541,3.3438,0.0927,1.6572
106.wav,-0.0024,-0.001,1.9128,4.4451,0.9552,2.222
107.wav,-0.0066,-0.0028,1.7799,4.3403,0.8866,2.1687
108.wav,-0.0265,-0.0114,0.5377,3.5355,0.2556,1.7621
109.wav,-0.0109,-0.0047,0.3437,3.3989,0.1664,1.6971
110.wav,-0.0155,-0.0066,0.334,3.395,0.1593,1.6942
111.wav,-0.0795,-0.0341,0.8723,3.8112,0.3964,1.8886
112.wav,-0.1118,-0.0479,0.3283,3.4089,0.1083,1.6805
113.wav,-0.07,-0.03,1.2905,3.9976,0.6103,1.9838
114.wav,-0.0869,-0.0373,0.1701,3.2868,0.0416,1.6248
115.wav,-0.0214,-0.0092,0.4996,3.5649,0.2391,1.7779
116.wav,-0.0505,-0.0217,0.2943,3.4134,0.1219,1.6959
117.wav,-0.0684,-0.0293,0.3692,3.4212,0.1504,1.6959
118.wav,-0.066,-0.0283,0.8632,3.735,0.3986,1.8533
119.wav,-0.0058,-0.0025,0.9728,3.805,0.4835,1.9013
120.wav,-0.0605,-0.0259,0.3011,3.553,0.1203,1.7635
121.wav,-0.0046,-0.002,1.4007,4.0644,0.698,2.0312
122.wav,-0.0164,-0.007,1.021,4.0026,0.5023,1.9978
123.wav,-0.0161,-0.0069,0.5628,3.5455,0.2734,1.7693
124.wav,-0.0022,-0.0009,0.916,3.7664,0.4569,1.8827
125.wav,-0.0264,-0.0113,0.598,3.5673,0.2858,1.778
126.wav,-0.0307,-0.0132,0.2693,3.3245,0.1193,1.6556
127.wav,-0.0936,-0.0401,0.4107,3.4378,0.1585,1.6988
128.wav,-0.0348,-0.0149,0.4526,3.5102,0.2089,1.7476
129.wav,-0.0118,-0.005,0.0931,3.1791,0.0406,1.587
130.wav,-0.0206,-0.0088,0.273,3.4256,0.1262,1.7084
131.wav,-0.0228,-0.0098,0.141,3.1935,0.0591,1.5919
132.wav,-0.033,-0.0141,1.2911,4.0929,0.6291,2.0394
133.wav,-0.0572,-0.0245,0.2259,3.2703,0.0843,1.6229
134.wav,-0.0159,-0.0068,0.4347,3.392,0.2094,1.6926
135.wav,-0.0294,-0.0126,0.1811,3.5129,0.0759,1.7501
136.wav,-0.1198,-0.0513,0.2735,3.4299,0.0769,1.6893
137.wav,-0.0435,-0.0187,0.2193,3.3765,0.0879,1.6789
138.wav,-0.0067,-0.0029,1.2476,3.9761,0.6205,1.9866
139.wav,-0.038,-0.0163,0.9054,3.7013,0.4337,1.8425
140.wav,-0.0183,-0.0079,0.3932,3.4345,0.1874,1.7133
141.wav,-0.0958,-0.0411,0.4995,3.6148,0.2018,1.7869
142.wav,-0.0018,-0.0008,1.0524,3.8529,0.5253,1.926
143.wav,-0.025,-0.0107,0.1526,3.5011,0.0638,1.7452
144.wav,-0.0115,-0.0049,0.8754,3.7761,0.4319,1.8856
145.wav,-0.0089,-0.0038,0.1873,3.2503,0.0892,1.6232
146.wav,-0.0049,-0.0021,1.9134,4.4453,0.9543,2.2216
147.wav,-0.0189,-0.0081,0.333,3.4073,0.1571,1.6996
148.wav,-0.0233,-0.01,0.3069,3.3065,0.1418,1.6482
149.wav,-0.3388,-0.1452,0.1514,3.4789,-0.0937,1.6669
150.wav,-0.1136,-0.0487,0.4242,3.4796,0.1553,1.7154
151.wav,-0.0089,-0.0038,1.9118,4.4443,0.9515,2.2202
152.wav,-0.0024,-0.001,1.7799,4.3403,0.8887,2.1696
153.wav,-0.0003,-0.0001,0.5547,3.5376,0.2772,1.7687
154.wav,-0.0912,-0.0391,0.3335,3.4098,0.1212,1.6854
155.wav,-0.0651,-0.0279,-0.0294,3.2412,-0.0473,1.6067
156.wav,-0.0446,-0.0191,1.2606,4.0007,0.608,1.9908
157.wav,-0.0237,-0.0101,1.3219,4.0469,0.6491,2.0184
158.wav,-0.0633,-0.0271,0.3395,3.4079,0.1381,1.6904
159.wav,-0.0163,-0.007,0.415,3.6989,0.1993,1.8459
160.wav,-0.0098,-0.0042,-0.584,3.1655,-0.2969,1.5807
161.wav,-0.0841,-0.036,1.0495,3.8736,0.4827,1.9188
162.wav,-0.2022,-0.0867,0.4713,3.4718,0.1345,1.6926
163.wav,-0.0373,-0.016,1.6974,4.2574,0.8301,2.1207
164.wav,-0.0066,-0.0028,0.3692,3.4212,0.1813,1.7092
165.wav,-0.011,-0.0047,1.1183,3.9156,0.5537,1.9555
166.wav,-0.1221,-0.0523,0.6572,3.6104,0.2675,1.779
167.wav,-0.1956,-0.0838,0.3278,3.3829,0.0661,1.6495
168.wav,-0.0049,-0.0021,1.9094,4.4428,0.9522,2.2204
