filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
087.wav,-0.078,-0.0334,0.4922,3.5005,0.2071,1.7335
088.wav,-0.1021,-0.0438,0.1783,3.3478,0.0381,1.652
089.wav,-0.09,-0.0386,0.0566,3.3432,-0.0167,1.6523
090.wav,-0.0917,-0.0393,0.6387,3.6185,0.2735,1.7896
091.wav,-0.0776,-0.0333,0.7586,3.6788,0.3405,1.8228
092.wav,-0.0059,-0.0025,-0.5981,3.4424,-0.302,1.72
093.wav,-0.0684,-0.0293,0.2385,3.3556,0.085,1.6631
094.wav,-0.0403,-0.0173,0.2451,3.3769,0.1024,1.6798
095.wav,-0.0251,-0.0108,0.2041,3.1823,0.0895,1.5858
096.wav,-0.0387,-0.0166,0.199,3.323,0.0802,1.6532
097.wav,-0.0183,-0.0079,1.181,3.9467,0.5813,1.9694
098.wav,-0.1144,-0.049,0.3233,3.3938,0.1045,1.6724
099.wav,-0.0815,-0.0349,0.372,3.4255,0.1453,1.6953
100.wav,-0.0264,-0.0113,1.0153,3.8351,0.4944,1.9119
101.wav,-0.0989,-0.0424,0.5997,3.5986,0.2504,1.7781
102.wav,-0.0019,-0.0008,0.2477,3.336,0.1229,1.6676
103.wav,-0.0513,-0.022,0.285,3.3997,0.1168,1.6889
104.wav,-0.011,-0.0047,0.7698,3.6308,0.3794,1.813
105.wav,-0.0086,-0.0037,0.7238,3.8236,0.3576,1.91
106.wav,-0.0479,-0.0205,0.0617,3.482,0.0069,1.7307
107.wav,-0.0153,-0.0066,1.3559,4.0946,0.6703,2.044
108.wav,-0.0452,-0.0194,0.3813,3.4539,0.1681,1.7173
109.wav,-0.0468,-0.0201,1.4086,4.1411,0.6809,2.0605
110.wav,-0.0407,-0.0175,1.3981,4.0836,0.6787,2.033
111.wav,-0.0434,-0.0186,0.1126,3.2153,0.0346,1.5983
112.wav,-0.0271,-0.0116,0.3869,3.4721,0.1799,1.7302
113.wav,-0.1891,-0.081,0.4789,3.4656,0.1449,1.6923
114.wav,-0.0059,-0.0025,0.6816,3.5774,0.3379,1.7874
115.wav,-0.0229,-0.0098,0.3662,3.425,0.1716,1.7076
116.wav,-0.0226,-0.0097,0.4196,3.2059,0.1985,1.5981
117.wav,-0.0111,-0.0047,-0.6104,3.755,-0.3107,1.8751
118.wav,-0.013,-0.0056,0.7688,3.6856,0.3779,1.84
119.wav,-0.0947,-0.0406,0.6747,3.493,0.29,1.7262
120.wav,-0.0261,-0.0112,1.0691,3.8793,0.5215,1.9341
121.wav,-0.0592,-0.0254,1.6565,4.2472,0.7986,2.1109
122.wav,-0.0435,-0.0186,0.0897,3.5345,0.0231,1.7579
123.wav,-0.0443,-0.019,0.5392,3.5223,0.2475,1.7517
124.wav,-0.1973,-0.0845,0.7586,3.6788,0.2807,1.7971
125.wav,-0.0137,-0.0059,1.4168,4.0919,0.7015,2.043
126.wav,-0.0086,-0.0037,1.9091,4.4427,0.9502,2.2195
127.wav,-0.0742,-0.0318,1.3718,4.1053,0.6488,2.0367
128.wav,-0.0862,-0.037,1.0884,3.8811,0.5011,1.9221
129.wav,-0.0272,-0.0117,1.52,4.1503,0.7464,2.0693
130.wav,-0.042,-0.018,0.3127,3.367,0.1354,1.6745
131.wav,-0.0097,-0.0041,0.6604,3.5808,0.3254,1.7883
132.wav,-0.0108,-0.0046,1.9094,4.4428,0.9493,2.2191
133.wav,-0.0429,-0.0184,0.175,3.2571,0.066,1.6193
134.wav,-0.0273,-0.0117,-0.0669,3.1719,-0.0471,1.5801
135.wav,-0.0413,-0.0177,0.2984,3.3824,0.1285,1.6824
136.wav,-0.0081,-0.0035,-0.0565,3.3848,-0.0323,1.6907
137.wav,-0.0154,-0.0066,0.6305,3.6016,0.3075,1.7975
138.wav,-0.0031,-0.0013,-0.0845,3.3302,-0.0438,1.6644
139.wav,-0.0588,-0.0252,0.5597,3.5379,0.2505,1.7564
140.wav,-0.0451,-0.0193,0.8993,3.7655,0.4271,1.8731
141.wav,-0.0073,-0.0031,0.193,3.2957,0.0929,1.6463
142.wav,-0.0905,-0.0388,1.1179,3.6066,0.5137,1.7839
143.wav,-0.0192,-0.0082,1.5056,4.1471,0.7432,2.0694
144.wav,-0.0365,-0.0156,1.5355,4.1865,0.7495,2.0854
145.wav,-0.0201,-0.0086,0.9988,3.834,0.4893,1.9127
146.wav,-0.0767,-0.0329,0.7479,3.6575,0.3356,1.8123
147.wav,-0.065,-0.0279,1.2956,4.0364,0.6153,2.0043
148.wav,-0.3567,-0.1529,0.1703,3.3557,-0.0932,1.6014
149.wav,-0.0297,-0.0127,0.2406,3.3287,0.1055,1.658
150.wav,-0.08,-0.0343,0.2692,3.5787,0.0946,1.7722
151.wav,-0.037,-0.0159,0.8067,3.686,0.3848,1.8351
152.wav,-0.0081,-0.0035,1.0915,3.9142,0.5417,1.9554
153.wav,-0.2634,-0.1129,0.3251,3.5076,0.0309,1.6974
154.wav,-0.0819,-0.0351,0.1507,2.9029,0.0344,1.4339
155.wav,-0.0475,-0.0204,0.6524,3.6107,0.3024,1.7952
156.wav,-0.0311,-0.0133,1.5321,4.1759,0.7505,2.0813
157.wav,-0.0126,-0.0054,1.5288,4.1826,0.7581,2.0886
