filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal
087.wav,-0.0713,-0.0305,0.8767,3.7516,0.4027,1.8605
088.wav,-0.0708,-0.0304,0.1848,3.3429,0.057,1.6563
089.wav,-0.2156,-0.0924,0.555,3.5515,0.1697,1.7296
090.wav,-0.0312,-0.0134,0.6185,3.4259,0.2936,1.7062
091.wav,-0.0309,-0.0132,0.2567,3.3568,0.1129,1.6718
092.wav,-0.1486,-0.0637,0.2031,3.3495,0.0272,1.6429
093.wav,-0.015,-0.0064,0.6952,3.595,0.3401,1.7943
094.wav,-0.141,-0.0604,0.1803,3.3347,0.0196,1.6371
095.wav,-0.3571,-0.1531,0.1382,3.356,-0.1095,1.6015
096.wav,-0.2976,-0.1276,0.0628,3.1998,-0.1174,1.5361
097.wav,-0.1895,-0.0812,0.4763,3.5134,0.1434,1.7161
098.wav,-0.0571,-0.0245,0.8545,3.7322,0.3987,1.8539
099.wav,-0.1926,-0.0826,0.2979,3.3786,0.0527,1.648
100.wav,-0.1602,-0.0686,0.4845,3.5029,0.1622,1.7171
101.wav,-0.0862,-0.037,0.5488,3.4638,0.2313,1.7134
102.wav,-0.0587,-0.0252,0.1861,3.3202,0.0637,1.6475
103.wav,-0.1504,-0.0645,0.2995,3.3726,0.0746,1.6541
104.wav,-0.2023,-0.0867,0.5945,3.5729,0.1961,1.7431
105.wav,-0.0792,-0.034,0.2393,3.3649,0.08,1.6655
106.wav,-0.0932,-0.0399,0.068,3.3782,-0.0126,1.6692
107.wav,-0.084,-0.036,0.4477,3.4835,0.1819,1.7237
108.wav,-0.1936,-0.083,0.0215,3.2904,-0.086,1.6037
109.wav,-0.1353,-0.058,0.7147,3.6719,0.2897,1.807
110.wav,-0.1418,-0.0608,0.2649,3.372,0.0616,1.6556
111.wav,-0.1294,-0.0554,0.2732,3.3447,0.0719,1.6446
112.wav,-0.189,-0.081,0.0414,3.2792,-0.0738,1.5991
113.wav,-0.2334,-0.1,0.1797,3.3055,-0.0268,1.6027
114.wav,-0.198,-0.0849,0.3783,3.7139,0.0901,1.8145
115.wav,-0.104,-0.0446,0.7486,3.6504,0.3223,1.8029
116.wav,-0.0067,-0.0029,1.908,4.4412,0.9507,2.2192
117.wav,-0.0554,-0.0237,1.6696,4.1934,0.8071,2.0848
118.wav,-0.0178,-0.0076,0.4039,3.4364,0.1931,1.7144
119.wav,-0.1034,-0.0443,0.1424,3.3319,0.0195,1.6438
120.wav,-0.0767,-0.0329,0.5714,3.5526,0.2474,1.7599
121.wav,-0.151,-0.0647,0.1814,3.4334,0.0152,1.6843
122.wav,-0.1781,-0.0763,0.8949,3.8106,0.3584,1.8671
123.wav,-0.1622,-0.0695,1.5058,4.133,0.6718,2.0318
